title,url
"李대통령,30일방한 이시바 일본 총리와 부산서 정상회담",https://www.yna.co.kr/view/AKR20250926139100001?input=1195m
"내란 특검,30일한덕수 재판 법원에 중계 신청",https://www.hani.co.kr/arti/society/society_general/1220961.html
"내란특검, 尹에30일10시 출석 재통보…""교도관 통해 전달""",https://news.tvchosun.com/site/data/html_dir/2025/09/25/2025092590186.html
"중국 외교부 ""북한 최선희 외무상 27∼30일방중""",https://www.ytn.co.kr/_ln/0104_202509251648408293
"채해병 특검, 개정 특검법 공포 따라 수사기간30일더 연장 [3대 특검]",https://www.segye.com/newsView/20250926508451?OutUrl=naver
"한국거래소, 오는30일ETF 5종목 코스피 상장",http://www.edaily.co.kr/news/newspath.asp?newsid=03729366642304056
"특검, 윤석열30일2차 출석요구서 전달…""불응시 형사소송법 검토""",https://www.newsis.com/view/NISX20250925_0003344081
"'김건희 청탁·권성동 정치자금' 통일교 前간부,30일보석 심문",https://www.newsis.com/view/NISX20250926_0003345781
"강서구,30일김포공항서 '재난대응 안전한국훈련'",https://www.yna.co.kr/view/AKR20250926066600004?input=1195m
'국내 방산기업 투자' ETF 등 5종30일신규 상장,https://www.yna.co.kr/view/AKR20250926126700008?input=1195m
"대우건설, 2025 하반기 신입 공채…30일부터 10월 14일까지 접수",https://biz.chosun.com/real_estate/real_estate_general/2025/09/26/CVBHZ7PRTRBYBGJ2VCRPQQVUZU/?utm_source=naver&utm_medium=original&utm_campaign=biz
"기아 노사, 5년 연속 무분규로 임협 잠정합의…30일찬반투표(종합)",https://www.yna.co.kr/view/AKR20250925156851003?input=1195m
"[속보] 내란 특검 ""윤 측,30일소환 통보에 의견 표명 없어""",https://www.ytn.co.kr/_ln/0103_202509261435382542
2025 경기인권포럼30일개최…'기후위기와 인권' 주제,https://www.yna.co.kr/view/AKR20250925040300061?input=1195m
"부산교육청, 학부모 소통·공감 토크콘서트30일개최",https://www.moneys.co.kr/article/2025092610203472772
한학자-권성동 동시 소환…'특검 수사30일더' 첫 결정,https://news.jtbc.co.kr/article/NB12264365?influxDiv=NAVER
[단독] 항공통제기 오는30일결정…미 초고가 무기 도입?,https://news.sbs.co.kr/news/endPage.do?news_id=N1008272674&plink=ORI&cooper=NAVER
"경남 5개 공기업, 호우 피해농가 돕기 직거래 장터30일개최",https://www.yna.co.kr/view/AKR20250926135200052?input=1195m
"경남도,30일부터 진주서 추석맞이 청정임산물 특판행사",https://www.yna.co.kr/view/AKR20250925110500052?input=1195m
"KB금융, '그룹 생산적 금융 협의회'30일출범",https://www.hankyung.com/article/202509257853i
김건희특검30일연장…'학폭무마'도 본격수사·권성동 불출석,https://www.yna.co.kr/view/AKR20250923103200004?input=1195m
"강하늘 “남대중 감독, ‘30일’ 흥행 후 더 재밌어졌다”[MK★현장]",https://www.mk.co.kr/article/11428906
"두산,30일LG 최종전에 콜 어빈 선발 등판…불펜엔 잭 로그 대기",https://www.news1.kr/sports/baseball/5926601
"마포구,30일부터 이틀간 농·특산물 직거래장터 연다",https://www.yna.co.kr/view/AKR20250925099900004?input=1195m
기후위기 대응 스마트하게…서울 기후테크 콘퍼런스30일개막,https://www.yna.co.kr/view/AKR20250925060500004?input=1195m
"부산시교육청,30일'춤추는 지휘자 백윤학' 진로 진학 특강",https://www.news1.kr/local/busan-gyeongnam/5925909
"이창섭 서울 콘서트,30일티켓 오픈",https://www.bntnews.co.kr/article/view/bnt202509250057
"밸로프, 서울 가산동 신사옥 오는30일입주…미래 도약 준비 마쳤다",https://daily.hankooki.com/news/articleView.html?idxno=1276918
"현대엔지니어링, 기업형 민간임대 ‘힐스테이트 용인포레’30일부터 청...",https://biz.chosun.com/real_estate/real_estate_general/2025/09/25/P7ACXT7IZVEDHOOCRRS4C6DCSA/?utm_source=naver&utm_medium=original&utm_campaign=biz
"[광주소식]광산구,30일'이주배경 청소년 이해·공감' 강연 등",https://www.newsis.com/view/NISX20250925_0003344175
"""자산총액의 50% 미충족""…두산, 지주회사 지위 잃었다",https://www.newsis.com/view/NISX20250926_0003346232
"'전북 방위산업 육성 세미나'30일열린다…""발전적 논의""",https://www.newsis.com/view/NISX20250926_0003345302
30일전 예고 없이 해고해 놓고 수당 안 준 사업주 처벌 받나,https://www.chosun.com/national/regional/chungcheong/2025/09/25/XJJJS5MIIJCPVJS2YBWF5FUJYA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"국민대 AI디자인학과, 첫 졸업전시회 개최…30일까지",https://www.newsis.com/view/NISX20250925_0003343910
"기아 노사, '25년 임단협 잠정 합의…30일찬반 투표",https://www.ebn.co.kr/news/articleView.html?idxno=1680152
"'포켓몬 카드 게임 Pocket', 특별 확장팩 '하이클래스팩 ex' 9월30일출시",https://www.xportsnews.com/article/2058286
"동해시, 공동디자인 진흥계획 공청회30일개최",https://www.newspim.com/news/view/20250926000423
"‘알앤비 뮤즈’ 제나 설,30일힐링송 들려준다",https://www.mk.co.kr/article/11429317
"약사회,30일용산서 한약사 문제 해결 촉구 투쟁 선포",https://www.dailypharm.com/Users/News/NewsView.html?ID=327305&REFERER=NP
"고대구로병원, 'HBIC 동반성장 워크숍' 29~30일개최",https://www.medipana.com/article/view.php?news_idx=347259&sch_cate=B
트럼프가 탐냈던 '서명용 펜'…1000세트 제작 '한정판매',https://www.newsis.com/view/NISX20250926_0003345051
"영양군, 15년 만에 전국노래자랑 개최…30일본선 녹화",https://www.moneys.co.kr/article/2025092514120472735
동명동 '커피 산책' 참여 크리에이터30일까지 모집,https://www.news1.kr/local/gwangju-jeonnam/5925081
"대전시사회서비스원,30일‘대전 사회서비스 엑스포’ 개최",https://www.news1.kr/local/daejeon-chungnam/5924924
"구민 묻고, 구청장 답한다...종로구30일까지 '재개발 토크쇼'",https://www.mt.co.kr/policy/2025/09/25/2025092515370987461
"""민주주의·평화의 가치 노래로""…광주전남김대중재단30일'인동초 합창...",https://www.newsis.com/view/NISX20250926_0003345770
